race_5cat,inc_4cat_50k,educ_4cat,ppagecat,ppgender,B2,B3,EF1,EF2,atleast_okay,weight
White,"Less than $25,000",High school degree or GED,55-64,Female,Just getting by,Somewhat worse off,No,No,No,0.8303
White,"$100,000 or more",Some college/technical or associates degree,25-34,Female,Doing okay,Somewhat better off,No,Yes,Yes,0.9902
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Doing okay,Somewhat better off,Yes,,Yes,0.9123
White,"$100,000 or more",Bachelor's degree or more,65-74,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.7763
Black,"$25,000–$49,999",High school degree or GED,65-74,Female,Living comfortably,Somewhat better off,Yes,,Yes,1.0283
Black,"$50,000–$99,999",Some college/technical or associates degree,75+,Female,Doing okay,About the same,Yes,,Yes,0.8764
White,"$25,000–$49,999",Some college/technical or associates degree,35-44,Male,Just getting by,About the same,No,No,No,0.8547
White,"Less than $25,000",Some college/technical or associates degree,55-64,Male,Finding it difficult to get by,About the same,No,No,No,0.4786
White,"Less than $25,000",Some college/technical or associates degree,18-24,Male,Just getting by,Somewhat worse off,No,Yes,No,1.2292
White,"$100,000 or more",Bachelor's degree or more,25-34,Female,Living comfortably,Much worse off,Yes,,Yes,1.4522
Other,"$100,000 or more",Bachelor's degree or more,55-64,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.2214
White,"$50,000–$99,999",Some college/technical or associates degree,75+,Male,Just getting by,Somewhat worse off,Yes,,No,0.6767
Black,"$25,000–$49,999",Some college/technical or associates degree,55-64,Male,Just getting by,Somewhat worse off,Yes,,No,0.7825
Other,"$50,000–$99,999",High school degree or GED,45-54,Female,Just getting by,Somewhat worse off,No,No,No,0.5958
White,"$100,000 or more",Bachelor's degree or more,35-44,Male,Living comfortably,About the same,Yes,,Yes,0.9568
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Doing okay,Somewhat better off,Yes,,Yes,0.602
Black,"$50,000–$99,999",Bachelor's degree or more,55-64,Male,Living comfortably,Much better off,Yes,,Yes,0.5261
White,"Less than $25,000",Bachelor's degree or more,25-34,Male,Doing okay,Somewhat worse off,No,No,Yes,1.0294
White,"$100,000 or more",Bachelor's degree or more,25-34,Female,Living comfortably,About the same,No,Yes,Yes,1.4522
Hispanic,"Less than $25,000",Some college/technical or associates degree,18-24,Female,Just getting by,Much better off,No,No,No,1.9082
White,"$50,000–$99,999",Bachelor's degree or more,25-34,Female,Doing okay,Somewhat worse off,No,Yes,Yes,0.9731
Other,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,Much better off,Yes,,Yes,0.1967
White,"$50,000–$99,999",Bachelor's degree or more,55-64,Female,Doing okay,About the same,No,No,Yes,0.6585
White,"$25,000–$49,999",Some college/technical or associates degree,75+,Male,Doing okay,About the same,Yes,,Yes,0.5504
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.7045
White,"$25,000–$49,999",High school degree or GED,35-44,Female,Just getting by,Somewhat worse off,No,No,No,1.389
Hispanic,"$50,000–$99,999",High school degree or GED,25-34,Male,Just getting by,About the same,No,No,No,2.0861
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.4252
White,"$50,000–$99,999",Some college/technical or associates degree,35-44,Male,Doing okay,About the same,Yes,,Yes,0.899
White,"$50,000–$99,999",Some college/technical or associates degree,45-54,Female,Just getting by,Somewhat worse off,No,No,No,0.847
White,"$100,000 or more",Bachelor's degree or more,75+,Female,Living comfortably,About the same,Yes,,Yes,0.8301
White,"$100,000 or more",Some college/technical or associates degree,65-74,Female,Living comfortably,Much better off,Yes,,Yes,0.9681
White,"$100,000 or more",Bachelor's degree or more,35-44,Male,Doing okay,Somewhat better off,Yes,,Yes,0.7727
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.4292
Black,"Less than $25,000",High school degree or GED,65-74,Male,Just getting by,Somewhat worse off,No,No,No,0.8589
White,"$50,000–$99,999",Bachelor's degree or more,35-44,Male,Living comfortably,Somewhat worse off,Yes,,Yes,0.7533
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Living comfortably,Somewhat worse off,Yes,,Yes,1.247
White,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Doing okay,Somewhat better off,Yes,,Yes,0.9473
White,"Less than $25,000",High school degree or GED,25-34,Male,Just getting by,About the same,No,No,No,0.9247
White,"$100,000 or more",Bachelor's degree or more,75+,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.7275
White,"$50,000–$99,999",Some college/technical or associates degree,45-54,Female,Just getting by,Somewhat worse off,Yes,,No,0.8836
White,"Less than $25,000",Some college/technical or associates degree,18-24,Female,Doing okay,Somewhat worse off,No,Yes,Yes,1.3979
White,"$100,000 or more",Bachelor's degree or more,35-44,Male,Finding it difficult to get by,About the same,No,No,No,0.8724
White,"$25,000–$49,999",High school degree or GED,65-74,Female,Just getting by,About the same,Yes,,No,0.6778
Asian,"$25,000–$49,999",High school degree or GED,55-64,Male,Doing okay,About the same,No,No,Yes,2.616
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.6161
White,"$50,000–$99,999",High school degree or GED,55-64,Male,Living comfortably,Somewhat worse off,Yes,,Yes,1.0637
White,"$100,000 or more",Bachelor's degree or more,65-74,Female,Living comfortably,About the same,Yes,,Yes,1.5434
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.6936
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Doing okay,Somewhat better off,Yes,,Yes,0.7163
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Doing okay,Somewhat better off,Yes,,Yes,0.5635
White,"$100,000 or more",Some college/technical or associates degree,65-74,Female,Living comfortably,Somewhat worse off,Yes,,Yes,1.0899
Hispanic,"$50,000–$99,999",Bachelor's degree or more,25-34,Female,Doing okay,Much better off,No,Yes,Yes,1.0771
Black,"$100,000 or more",Bachelor's degree or more,65-74,Female,Living comfortably,Much better off,Yes,,Yes,0.9062
Hispanic,"Less than $25,000",Some college/technical or associates degree,55-64,Male,Doing okay,Somewhat better off,Yes,,Yes,2.7082
White,"Less than $25,000",Bachelor's degree or more,18-24,Female,Living comfortably,About the same,Yes,,Yes,1.5342
Black,"Less than $25,000",High school degree or GED,25-34,Male,Just getting by,About the same,Yes,,No,1.3502
White,"$50,000–$99,999",Some college/technical or associates degree,75+,Female,Doing okay,About the same,Yes,,Yes,0.9937
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.6936
White,"$25,000–$49,999",Bachelor's degree or more,75+,Female,Living comfortably,Somewhat worse off,Yes,,Yes,0.4298
Hispanic,"$50,000–$99,999",Bachelor's degree or more,25-34,Female,Just getting by,Somewhat worse off,No,No,No,1.0571
Black,"$25,000–$49,999",High school degree or GED,25-34,Male,Just getting by,Somewhat worse off,No,No,No,1.6353
White,"$50,000–$99,999",High school degree or GED,55-64,Male,Just getting by,About the same,No,Yes,No,1.0244
Hispanic,"$100,000 or more",Bachelor's degree or more,35-44,Male,Doing okay,Much worse off,Yes,,Yes,0.9628
White,"$100,000 or more",Some college/technical or associates degree,65-74,Female,Living comfortably,About the same,Yes,,Yes,0.9681
Black,"Less than $25,000",Some college/technical or associates degree,45-54,Female,Doing okay,About the same,Yes,,Yes,0.9014
Hispanic,"$100,000 or more",Some college/technical or associates degree,45-54,Female,Just getting by,Much worse off,No,No,No,0.8866
White,"$50,000–$99,999",Bachelor's degree or more,25-34,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.8533
White,"$25,000–$49,999",Some college/technical or associates degree,75+,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.6987
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Doing okay,Somewhat better off,Yes,,Yes,0.9123
White,"$50,000–$99,999",Bachelor's degree or more,25-34,Female,Doing okay,About the same,No,No,Yes,1.0279
Black,"$100,000 or more",Some college/technical or associates degree,35-44,Male,Doing okay,About the same,No,Yes,Yes,1.1276
White,"$100,000 or more",Bachelor's degree or more,35-44,Male,Doing okay,Somewhat better off,Yes,,Yes,0.9568
White,"Less than $25,000",Less than a high school degree,65-74,Female,Doing okay,About the same,Yes,,Yes,0.6559
Hispanic,"$25,000–$49,999",Some college/technical or associates degree,25-34,Female,Just getting by,About the same,No,Yes,No,1.2416
Hispanic,"$50,000–$99,999",High school degree or GED,55-64,Female,Doing okay,About the same,Yes,,Yes,1.6228
Hispanic,"$25,000–$49,999",Some college/technical or associates degree,35-44,Male,Just getting by,About the same,No,No,No,0.9591
White,"$100,000 or more",Bachelor's degree or more,25-34,Female,Living comfortably,Somewhat better off,Yes,,Yes,1.3232
White,"$25,000–$49,999",Some college/technical or associates degree,65-74,Female,Living comfortably,About the same,Yes,,Yes,0.8025
White,"$100,000 or more",Bachelor's degree or more,25-34,Female,Living comfortably,Somewhat better off,Yes,,Yes,1.4522
White,"$50,000–$99,999",Some college/technical or associates degree,75+,Male,Living comfortably,About the same,Yes,,Yes,0.6469
Hispanic,"$50,000–$99,999",High school degree or GED,45-54,Female,Doing okay,About the same,Yes,,Yes,1.4944
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Living comfortably,About the same,Yes,,Yes,0.6864
Black,"Less than $25,000",Some college/technical or associates degree,65-74,Female,Finding it difficult to get by,Much worse off,No,No,No,0.727
White,"Less than $25,000",High school degree or GED,25-34,Male,Finding it difficult to get by,Somewhat worse off,No,No,No,1.5398
White,"$25,000–$49,999",Bachelor's degree or more,55-64,Male,Finding it difficult to get by,Somewhat worse off,No,No,No,0.6074
White,"$50,000–$99,999",Bachelor's degree or more,25-34,Female,Doing okay,About the same,Yes,,Yes,1.0473
White,"$100,000 or more",Bachelor's degree or more,35-44,Female,Living comfortably,Somewhat better off,Yes,,Yes,1.3582
White,"$25,000–$49,999",High school degree or GED,65-74,Male,Just getting by,About the same,Yes,,No,0.9854
White,"$50,000–$99,999",Some college/technical or associates degree,25-34,Female,Finding it difficult to get by,Much worse off,No,No,No,0.9902
Asian,"$100,000 or more",Bachelor's degree or more,35-44,Female,Living comfortably,Somewhat better off,Yes,,Yes,1.6853
Hispanic,"$100,000 or more",Some college/technical or associates degree,25-34,Male,Doing okay,Somewhat worse off,Yes,,Yes,1.5179
White,"$100,000 or more",Some college/technical or associates degree,45-54,Male,Living comfortably,About the same,Yes,,Yes,1.1731
White,"Less than $25,000",Less than a high school degree,75+,Female,Doing okay,About the same,No,No,Yes,0.7286
White,"$25,000–$49,999",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.7006
White,"$50,000–$99,999",High school degree or GED,55-64,Male,Just getting by,About the same,Yes,,No,0.8415
White,"$100,000 or more",Bachelor's degree or more,65-74,Female,Living comfortably,About the same,Yes,,Yes,0.7563
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Female,Doing okay,About the same,Yes,,Yes,0.6807
Asian,"$100,000 or more",Some college/technical or associates degree,35-44,Male,Doing okay,About the same,Yes,,Yes,2.5751
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Living comfortably,About the same,Yes,,Yes,0.7943
Hispanic,"$25,000–$49,999",High school degree or GED,65-74,Female,Just getting by,Somewhat worse off,No,No,No,1.0953
Black,"$50,000–$99,999",Some college/technical or associates degree,65-74,Female,Doing okay,About the same,Yes,,Yes,0.8764
White,"$100,000 or more",Bachelor's degree or more,35-44,Male,Living comfortably,About the same,Yes,,Yes,0.8499
Hispanic,"Less than $25,000",Some college/technical or associates degree,45-54,Male,Just getting by,About the same,No,Yes,No,0.691
Hispanic,"$100,000 or more",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.0609
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,No,Yes,Yes,0.4976
Asian,"$50,000–$99,999",Bachelor's degree or more,25-34,Female,Doing okay,About the same,Yes,,Yes,1.8537
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Doing okay,About the same,Yes,,Yes,0.7163
White,"$100,000 or more",Some college/technical or associates degree,35-44,Male,Living comfortably,About the same,Yes,,Yes,1.9334
White,"Less than $25,000",High school degree or GED,25-34,Female,Just getting by,Somewhat better off,No,No,No,0.7076
White,"$100,000 or more",High school degree or GED,55-64,Female,Doing okay,About the same,No,No,Yes,1.5079
White,"$50,000–$99,999",High school degree or GED,45-54,Female,Living comfortably,About the same,Yes,,Yes,1.0608
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Doing okay,Somewhat worse off,No,No,Yes,0.9568
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Female,Doing okay,Somewhat worse off,Yes,,Yes,0.9937
Asian,"$100,000 or more",Bachelor's degree or more,25-34,Female,Living comfortably,About the same,Yes,,Yes,1.9028
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.6936
Hispanic,"$25,000–$49,999",Some college/technical or associates degree,18-24,Male,Doing okay,About the same,No,No,Yes,2.7842
White,"$100,000 or more",High school degree or GED,18-24,Male,Finding it difficult to get by,Much worse off,No,No,No,3.5159
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Living comfortably,About the same,Yes,,Yes,0.9328
Black,"$100,000 or more",Bachelor's degree or more,65-74,Male,Doing okay,About the same,No,Yes,Yes,0.5962
White,"$50,000–$99,999",High school degree or GED,25-34,Female,Doing okay,About the same,No,No,Yes,1.1018
Hispanic,"$50,000–$99,999",High school degree or GED,35-44,Male,Doing okay,About the same,No,No,Yes,2.2115
Hispanic,"$50,000–$99,999",Bachelor's degree or more,55-64,Female,Doing okay,Somewhat better off,No,No,Yes,0.5569
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,Somewhat worse off,Yes,,Yes,0.6324
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Doing okay,Somewhat better off,Yes,,Yes,0.9328
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Doing okay,Somewhat worse off,Yes,,Yes,0.9613
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.4976
White,"$50,000–$99,999",High school degree or GED,75+,Female,Living comfortably,About the same,Yes,,Yes,0.7818
Other,"$50,000–$99,999",Bachelor's degree or more,25-34,Male,Living comfortably,About the same,Yes,,Yes,0.2327
White,"$50,000–$99,999",Some college/technical or associates degree,55-64,Female,Finding it difficult to get by,Somewhat worse off,No,No,No,0.9064
White,"$100,000 or more",High school degree or GED,55-64,Male,Doing okay,Somewhat worse off,No,Yes,Yes,1.6282
White,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Living comfortably,Somewhat worse off,Yes,,Yes,1.0357
Asian,"$50,000–$99,999",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.886
White,"$100,000 or more",Some college/technical or associates degree,75+,Male,Living comfortably,Much better off,Yes,,Yes,0.7627
White,"$50,000–$99,999",High school degree or GED,55-64,Female,Doing okay,Somewhat worse off,No,Yes,Yes,0.9493
Black,"$100,000 or more",Bachelor's degree or more,25-34,Male,Doing okay,Somewhat better off,No,Yes,Yes,0.7027
Black,"$100,000 or more",Some college/technical or associates degree,45-54,Male,Living comfortably,Somewhat worse off,Yes,,Yes,0.9624
White,"Less than $25,000",High school degree or GED,55-64,Male,Finding it difficult to get by,Much worse off,No,No,No,0.619
White,"$25,000–$49,999",Bachelor's degree or more,75+,Male,Doing okay,About the same,Yes,,Yes,0.4149
Asian,"$50,000–$99,999",Bachelor's degree or more,25-34,Male,Doing okay,About the same,Yes,,Yes,0.8217
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.6324
White,"$100,000 or more",Some college/technical or associates degree,65-74,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.5762
White,"Less than $25,000",Some college/technical or associates degree,25-34,Male,Finding it difficult to get by,Somewhat worse off,No,Yes,No,1.0352
Asian,"$100,000 or more",Bachelor's degree or more,25-34,Male,Living comfortably,Somewhat better off,Yes,,Yes,1.3405
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Doing okay,About the same,No,Yes,Yes,0.9613
Hispanic,"$100,000 or more",Bachelor's degree or more,45-54,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.7905
Black,"$100,000 or more",Bachelor's degree or more,45-54,Female,Living comfortably,About the same,Yes,,Yes,1.3273
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,Much better off,Yes,,Yes,0.6161
Hispanic,"$50,000–$99,999",Bachelor's degree or more,35-44,Male,Finding it difficult to get by,Somewhat better off,No,No,No,0.5902
White,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Living comfortably,Somewhat better off,Yes,,Yes,1.1989
White,"$50,000–$99,999",Bachelor's degree or more,55-64,Female,Just getting by,Somewhat worse off,No,Yes,No,0.7644
Hispanic,"$50,000–$99,999",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,0.7321
White,"$50,000–$99,999",Bachelor's degree or more,75+,Male,Doing okay,About the same,Yes,,Yes,0.3667
White,"$100,000 or more",Bachelor's degree or more,35-44,Male,Doing okay,About the same,Yes,,Yes,0.9328
White,"$50,000–$99,999",Bachelor's degree or more,25-34,Female,Doing okay,Somewhat worse off,Yes,,Yes,1.121
White,"$50,000–$99,999",Bachelor's degree or more,35-44,Male,Doing okay,About the same,Yes,,Yes,0.6134
White,"$100,000 or more",Bachelor's degree or more,25-34,Female,Living comfortably,About the same,Yes,,Yes,1.1413
White,"$100,000 or more",Bachelor's degree or more,35-44,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.8724
White,"$50,000–$99,999",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,No,Yes,Yes,0.4364
Hispanic,"$100,000 or more",Bachelor's degree or more,35-44,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.7775
Other,"$25,000–$49,999",Bachelor's degree or more,18-24,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.4316
White,"$100,000 or more",Bachelor's degree or more,25-34,Female,Living comfortably,Somewhat better off,Yes,,Yes,1.0685
White,"$25,000–$49,999",Bachelor's degree or more,25-34,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.9568
White,"$100,000 or more",Bachelor's degree or more,65-74,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.6634
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.6978
White,"$50,000–$99,999",Bachelor's degree or more,18-24,Male,Doing okay,About the same,No,No,Yes,0.8533
White,"$50,000–$99,999",High school degree or GED,65-74,Female,Doing okay,About the same,No,No,Yes,0.8491
White,"$100,000 or more",Bachelor's degree or more,35-44,Female,Doing okay,About the same,Yes,,Yes,1.3582
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.6161
Black,"$100,000 or more",Bachelor's degree or more,35-44,Male,Doing okay,About the same,No,No,Yes,0.9046
Other,"$50,000–$99,999",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.0386
Hispanic,"$100,000 or more",Some college/technical or associates degree,55-64,Female,Doing okay,Somewhat worse off,No,No,Yes,1.6646
White,"$100,000 or more",Bachelor's degree or more,35-44,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.7045
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,About the same,No,Yes,Yes,0.5601
White,"$50,000–$99,999",Some college/technical or associates degree,25-34,Female,Doing okay,About the same,No,Yes,Yes,1.2709
Other,"Less than $25,000",Less than a high school degree,35-44,Male,Just getting by,Somewhat worse off,No,No,No,0.8685
Hispanic,"$100,000 or more",Bachelor's degree or more,25-34,Female,Living comfortably,Somewhat better off,Yes,,Yes,1.4935
Black,"$25,000–$49,999",Some college/technical or associates degree,65-74,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.6799
White,"$25,000–$49,999",Some college/technical or associates degree,35-44,Female,Just getting by,About the same,No,No,No,0.8771
White,"$100,000 or more",Some college/technical or associates degree,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.2567
Hispanic,"$50,000–$99,999",Some college/technical or associates degree,35-44,Female,Doing okay,Somewhat worse off,Yes,,Yes,0.9188
White,"$50,000–$99,999",Some college/technical or associates degree,45-54,Female,Doing okay,Somewhat worse off,No,Yes,Yes,0.7712
Asian,"$100,000 or more",Bachelor's degree or more,35-44,Female,Doing okay,About the same,Yes,,Yes,1.643
White,"$25,000–$49,999",Some college/technical or associates degree,18-24,Male,Living comfortably,Somewhat better off,Yes,,Yes,2.19
White,"Less than $25,000",High school degree or GED,35-44,Female,Just getting by,About the same,No,No,No,0.946
White,"Less than $25,000",High school degree or GED,55-64,Male,Doing okay,About the same,No,No,Yes,0.8881
White,"Less than $25,000",Some college/technical or associates degree,18-24,Female,Doing okay,About the same,No,Yes,Yes,1.7763
White,"$25,000–$49,999",Some college/technical or associates degree,75+,Female,Doing okay,About the same,No,Yes,Yes,0.6356
Hispanic,"Less than $25,000",High school degree or GED,35-44,Male,Doing okay,About the same,Yes,,Yes,1.5016
White,"Less than $25,000",Some college/technical or associates degree,18-24,Female,Doing okay,About the same,Yes,,Yes,1.2101
Other,"$50,000–$99,999",Some college/technical or associates degree,18-24,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.5381
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.6161
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.9568
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Living comfortably,About the same,Yes,,Yes,0.7727
Black,"$50,000–$99,999",Bachelor's degree or more,25-34,Male,Just getting by,Somewhat worse off,No,Yes,No,0.7499
Hispanic,"$100,000 or more",Some college/technical or associates degree,45-54,Female,Living comfortably,Somewhat better off,No,Yes,Yes,1.0376
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.6161
White,"$50,000–$99,999",Bachelor's degree or more,25-34,Female,Living comfortably,About the same,Yes,,Yes,0.9372
White,"$25,000–$49,999",Some college/technical or associates degree,25-34,Female,Just getting by,About the same,No,Yes,No,0.8182
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.5601
White,"Less than $25,000",Less than a high school degree,55-64,Male,Just getting by,Somewhat worse off,No,Yes,No,1.047
White,"$100,000 or more",Bachelor's degree or more,25-34,Female,Living comfortably,Much better off,No,Yes,Yes,1.2294
White,"$50,000–$99,999",High school degree or GED,45-54,Male,Finding it difficult to get by,Much worse off,No,Yes,No,1.1989
White,"$50,000–$99,999",Some college/technical or associates degree,25-34,Female,Doing okay,Somewhat better off,No,Yes,Yes,1.2435
Hispanic,"$100,000 or more",Some college/technical or associates degree,18-24,Female,Living comfortably,About the same,Yes,,Yes,1.0059
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.9568
White,"$50,000–$99,999",Bachelor's degree or more,65-74,Female,Living comfortably,Somewhat worse off,Yes,,Yes,0.8514
White,"$100,000 or more",High school degree or GED,55-64,Male,Living comfortably,About the same,No,Yes,Yes,1.5503
White,"$100,000 or more",Bachelor's degree or more,35-44,Male,Living comfortably,About the same,Yes,,Yes,0.9568
White,"$50,000–$99,999",Some college/technical or associates degree,25-34,Male,Just getting by,Somewhat worse off,No,No,No,1.0352
White,"$100,000 or more",High school degree or GED,25-34,Male,Doing okay,Somewhat better off,Yes,,Yes,1.5162
White,"$100,000 or more",Some college/technical or associates degree,25-34,Female,Living comfortably,Much better off,No,Yes,Yes,0.9902
White,"$50,000–$99,999",Bachelor's degree or more,25-34,Male,Living comfortably,About the same,Yes,,Yes,0.6603
Hispanic,"Less than $25,000",Some college/technical or associates degree,25-34,Male,Doing okay,Somewhat better off,Yes,,Yes,1.3653
Hispanic,"$50,000–$99,999",Less than a high school degree,35-44,Female,Just getting by,About the same,No,No,No,2.5084
Hispanic,"$100,000 or more",Bachelor's degree or more,25-34,Male,Living comfortably,About the same,Yes,,Yes,0.8553
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.7659
White,"$50,000–$99,999",Some college/technical or associates degree,25-34,Female,Living comfortably,Somewhat worse off,No,No,Yes,1.025
White,"$50,000–$99,999",Some college/technical or associates degree,25-34,Female,Just getting by,Somewhat worse off,No,No,No,0.9902
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.5524
White,"$50,000–$99,999",Bachelor's degree or more,35-44,Male,Doing okay,Much better off,Yes,,Yes,0.6559
White,"$50,000–$99,999",Bachelor's degree or more,25-34,Male,Doing okay,About the same,Yes,,Yes,0.6287
Hispanic,"$25,000–$49,999",Some college/technical or associates degree,18-24,Male,Finding it difficult to get by,Much worse off,No,No,No,2.3219
White,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Doing okay,About the same,No,Yes,Yes,1.1436
White,"Less than $25,000",Less than a high school degree,55-64,Male,Finding it difficult to get by,Much worse off,No,No,No,0.8131
White,"$100,000 or more",Some college/technical or associates degree,25-34,Male,Doing okay,Much better off,No,Yes,Yes,1.0924
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Living comfortably,About the same,Yes,,Yes,0.9328
White,"$25,000–$49,999",Less than a high school degree,25-34,Male,Just getting by,Somewhat worse off,No,No,No,1.1328
White,"$50,000–$99,999",Bachelor's degree or more,75+,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.4877
White,"$100,000 or more",Bachelor's degree or more,25-34,Female,Living comfortably,Somewhat better off,Yes,,Yes,1.2294
Hispanic,"Less than $25,000",Less than a high school degree,25-34,Female,Just getting by,About the same,No,No,No,1.3646
Hispanic,"Less than $25,000",Bachelor's degree or more,25-34,Male,Just getting by,About the same,No,Yes,No,0.8199
Black,"$100,000 or more",Bachelor's degree or more,65-74,Female,Living comfortably,About the same,No,Yes,Yes,0.9062
Hispanic,"$25,000–$49,999",High school degree or GED,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.4493
White,"$100,000 or more",Some college/technical or associates degree,25-34,Male,Doing okay,Somewhat worse off,Yes,,Yes,1.0249
White,"$50,000–$99,999",Bachelor's degree or more,25-34,Female,Doing okay,Somewhat better off,Yes,,Yes,1.0242
Hispanic,"$50,000–$99,999",Bachelor's degree or more,65-74,Female,Doing okay,About the same,Yes,,Yes,0.6626
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.6161
White,"$100,000 or more",High school degree or GED,65-74,Female,Living comfortably,About the same,Yes,,Yes,1.2145
Black,"Less than $25,000",High school degree or GED,45-54,Female,Doing okay,About the same,No,No,Yes,0.8115
Hispanic,"Less than $25,000",Bachelor's degree or more,25-34,Male,Doing okay,Somewhat better off,Yes,,Yes,0.576
Hispanic,"Less than $25,000",Some college/technical or associates degree,25-34,Female,Just getting by,Somewhat worse off,No,No,No,1.7806
Hispanic,"$50,000–$99,999",Bachelor's degree or more,25-34,Male,Doing okay,Somewhat worse off,No,No,Yes,0.6644
Hispanic,"Less than $25,000",Some college/technical or associates degree,25-34,Female,Doing okay,Somewhat better off,No,No,Yes,1.0824
White,"$50,000–$99,999",Bachelor's degree or more,25-34,Female,Finding it difficult to get by,About the same,No,No,No,0.9508
Black,"$100,000 or more",Bachelor's degree or more,25-34,Male,Doing okay,Somewhat better off,Yes,,Yes,1.0184
