age_group,race,income,gender,JOBSAT_W157,JOBSEC_W157,AIWRKOPPO_W157,AIWRKFEEL_c_W157,AIWRKHEARD_W157,CHATWRK_W157,WEIGHT_W157
50-64,White,Upper,Male,2.0,1.0,3.0,2.0,1.0,3.0,0.5130044903158608
50-64,White,Middle,Female,3.0,3.0,3.0,1.0,2.0,3.0,0.4013456730291807
30-49,White,Upper,Male,4.0,4.0,3.0,2.0,1.0,1.0,0.813281628317857
50-64,White,Upper,Male,2.0,1.0,3.0,1.0,2.0,4.0,0.7363916429704934
50-64,White,Upper,Female,1.0,1.0,3.0,1.0,2.0,5.0,0.4038560732166239
30-49,Other,Upper,Male,2.0,2.0,3.0,2.0,1.0,2.0,0.3289115328900837
30-49,White,Upper,Male,3.0,1.0,3.0,1.0,2.0,5.0,0.9207704144964746
30-49,White,Upper,Female,1.0,2.0,3.0,2.0,1.0,5.0,0.5210007270203262
65+,Black,Low,Male,3.0,1.0,3.0,1.0,1.0,5.0,0.7670454219069436
30-49,White,Middle,Female,2.0,3.0,3.0,1.0,2.0,5.0,0.902861062266647
30-49,White,Low,Female,3.0,2.0,2.0,1.0,2.0,5.0,1.3542784060122517
50-64,Hispanic,Middle,Female,1.0,2.0,2.0,1.0,2.0,5.0,0.9168396307139516
30-49,White,Middle,Female,4.0,3.0,4.0,2.0,2.0,5.0,0.5149576591118163
18-29,Other,Low,Female,3.0,3.0,2.0,1.0,2.0,5.0,0.86387468238746
30-49,Black,Upper,Male,3.0,2.0,2.0,1.0,1.0,4.0,0.4081281120655374
50-64,White,Upper,Male,1.0,1.0,3.0,1.0,2.0,5.0,0.948939120319221
30-49,Black,Low,Female,3.0,1.0,4.0,2.0,2.0,3.0,1.2734263560350547
50-64,White,Upper,Male,2.0,1.0,3.0,1.0,2.0,5.0,1.0571086112295107
30-49,White,Middle,Male,3.0,2.0,1.0,2.0,2.0,5.0,0.7814634765256042
50-64,White,Low,Female,4.0,4.0,4.0,1.0,2.0,5.0,0.6094557203194971
18-29,Black,Upper,Female,3.0,3.0,,,3.0,,0.659796301487404
65+,White,Middle,Female,2.0,2.0,2.0,1.0,2.0,5.0,0.8885314116804506
65+,White,Upper,Male,2.0,1.0,2.0,1.0,2.0,5.0,0.3323523299826639
30-49,White,Middle,Female,3.0,2.0,3.0,1.0,2.0,,0.5474998580646848
65+,Black,Middle,Female,3.0,3.0,4.0,1.0,2.0,,0.4093233302142042
65+,Other,Middle,Male,2.0,3.0,3.0,2.0,1.0,1.0,0.4418231924274581
50-64,White,Middle,Female,2.0,2.0,,,3.0,5.0,0.6723395956268814
65+,White,Middle,Female,4.0,2.0,2.0,1.0,2.0,5.0,0.8592575603359502
30-49,Hispanic,Middle,Male,3.0,1.0,3.0,2.0,1.0,2.0,0.792121697484601
50-64,White,Upper,Male,2.0,1.0,,2.0,2.0,,1.4207168262353778
50-64,White,Upper,Male,2.0,2.0,3.0,1.0,2.0,5.0,1.309118752554928
50-64,Black,Upper,Male,2.0,1.0,2.0,1.0,1.0,3.0,0.6663256987721838
30-49,Black,Low,Female,5.0,4.0,3.0,1.0,2.0,1.0,0.3255114878077566
30-49,White,Middle,Male,2.0,2.0,1.0,2.0,1.0,1.0,0.9284724656433636
30-49,Hispanic,Middle,Female,2.0,1.0,,,3.0,,0.3900139907300088
30-49,White,Low,Female,2.0,2.0,2.0,1.0,2.0,,2.275815211494232
50-64,Black,Middle,Female,3.0,4.0,3.0,1.0,2.0,5.0,0.5975753278564074
30-49,White,Low,Male,3.0,1.0,3.0,1.0,2.0,4.0,0.6703154757933879
50-64,White,Upper,Male,1.0,2.0,3.0,1.0,1.0,5.0,0.682349446895329
30-49,White,Upper,Female,2.0,1.0,3.0,2.0,2.0,5.0,0.4439184976830814
30-49,White,Upper,Male,2.0,1.0,1.0,2.0,1.0,1.0,0.3938434195218964
30-49,White,Upper,Male,2.0,2.0,3.0,2.0,1.0,1.0,0.6432799977573975
50-64,White,Low,Female,2.0,2.0,2.0,2.0,2.0,5.0,0.8150243123028478
30-49,Black,Middle,Female,2.0,2.0,3.0,1.0,1.0,3.0,0.4758355488657577
50-64,White,Middle,Female,3.0,1.0,,,3.0,,0.9128808527890976
30-49,Hispanic,Low,Female,1.0,1.0,,,3.0,,1.2411879699504564
50-64,White,Middle,Female,3.0,1.0,4.0,1.0,1.0,5.0,0.2128733645526188
18-29,Hispanic,Low,Female,3.0,5.0,1.0,1.0,2.0,,1.3217950164020025
50-64,Other,Upper,Female,3.0,2.0,4.0,2.0,1.0,2.0,0.9481384961145848
50-64,White,Middle,Female,3.0,1.0,4.0,1.0,2.0,5.0,0.2999392199730622
50-64,White,Middle,Male,3.0,2.0,3.0,1.0,2.0,5.0,0.4659121753927548
30-49,White,Upper,Male,3.0,3.0,4.0,2.0,1.0,3.0,0.499413760532494
30-49,White,Upper,Male,2.0,1.0,3.0,1.0,1.0,4.0,0.739324320579531
30-49,Hispanic,Low,Female,3.0,1.0,3.0,1.0,2.0,5.0,0.946850021230888
30-49,White,Upper,Male,1.0,1.0,3.0,2.0,1.0,4.0,0.917955232975824
50-64,Black,Upper,Male,2.0,2.0,1.0,2.0,2.0,3.0,1.1151797185679788
50-64,White,Middle,Female,1.0,1.0,1.0,2.0,2.0,,0.2803661688284237
30-49,White,Middle,Male,3.0,3.0,2.0,1.0,1.0,1.0,0.3893013733145675
30-49,Hispanic,Middle,Male,2.0,3.0,1.0,1.0,2.0,3.0,0.2380231196779259
50-64,White,Middle,Male,4.0,1.0,2.0,1.0,2.0,5.0,0.8757202903102608
30-49,White,Upper,Male,2.0,1.0,3.0,1.0,2.0,5.0,0.3584943219195648
30-49,Asian,Middle,Male,3.0,2.0,2.0,1.0,2.0,5.0,1.0459159731027126
30-49,Other,Upper,Female,3.0,2.0,2.0,1.0,1.0,4.0,0.4421503480725806
30-49,Other,Upper,Female,3.0,2.0,2.0,1.0,2.0,,0.3932417953914819
30-49,Hispanic,Upper,Male,2.0,2.0,3.0,1.0,2.0,5.0,1.004296643566134
50-64,White,Middle,Male,3.0,4.0,2.0,2.0,1.0,1.0,0.4903707331798168
18-29,Hispanic,Middle,Other,4.0,3.0,2.0,1.0,1.0,5.0,1.0340035886921244
30-49,Black,Middle,Female,1.0,5.0,1.0,2.0,1.0,1.0,0.4705714884424778
65+,Other,Upper,Female,3.0,3.0,4.0,2.0,1.0,3.0,0.6319608773834933
50-64,White,Upper,Female,1.0,1.0,3.0,2.0,2.0,1.0,0.5861554590573511
30-49,White,Upper,Male,3.0,2.0,1.0,2.0,2.0,4.0,1.0791009313595543
50-64,Hispanic,Middle,Male,3.0,4.0,2.0,1.0,2.0,5.0,1.3604516174437988
30-49,White,Upper,Female,4.0,5.0,1.0,1.0,1.0,2.0,0.3975427166321477
50-64,Other,Upper,Male,3.0,2.0,1.0,2.0,2.0,,0.8688050525677475
30-49,White,Upper,Male,3.0,3.0,2.0,1.0,2.0,4.0,0.9039999373190348
18-29,White,Middle,Female,5.0,4.0,3.0,2.0,1.0,1.0,1.0775929593345397
50-64,White,Upper,Female,1.0,1.0,4.0,1.0,1.0,1.0,0.668196042215878
18-29,White,Upper,Male,4.0,1.0,3.0,2.0,1.0,5.0,2.681306834864009
30-49,White,Middle,Male,1.0,1.0,2.0,1.0,2.0,5.0,0.9321957759391718
50-64,White,Low,Female,3.0,1.0,,,3.0,,1.5776673918216455
65+,White,Upper,Female,2.0,1.0,1.0,2.0,1.0,4.0,0.3306778792451272
30-49,Other,Middle,Male,3.0,4.0,2.0,1.0,2.0,4.0,1.020042508140356
50-64,White,Upper,Male,3.0,2.0,,,3.0,,0.2492848669282452
65+,White,Upper,Male,1.0,1.0,3.0,1.0,2.0,4.0,0.4790246311846462
30-49,Black,Middle,Male,4.0,3.0,2.0,1.0,2.0,,1.1062917138739412
50-64,Hispanic,Middle,Male,3.0,1.0,2.0,1.0,2.0,5.0,0.4490890572294231
18-29,White,Middle,Male,3.0,2.0,3.0,2.0,2.0,3.0,0.8549909421582554
30-49,Hispanic,Upper,Male,2.0,3.0,3.0,2.0,2.0,1.0,0.5287992439326623
50-64,Black,Middle,Female,2.0,3.0,2.0,1.0,2.0,5.0,0.5543955315704118
18-29,White,Middle,Male,3.0,1.0,3.0,2.0,2.0,4.0,0.9858993235933772
30-49,White,Low,Female,1.0,2.0,4.0,1.0,2.0,,0.6177685570425746
30-49,Hispanic,Middle,Female,2.0,1.0,2.0,1.0,1.0,4.0,0.6403646347462121
50-64,White,Middle,Female,2.0,2.0,1.0,2.0,1.0,4.0,0.3985203176148719
30-49,Black,Low,Female,3.0,1.0,,,3.0,,0.4923783604437217
50-64,White,Upper,Male,2.0,1.0,4.0,2.0,1.0,4.0,0.7168280787183954
18-29,White,Middle,Female,2.0,1.0,3.0,1.0,1.0,4.0,0.9101179857968684
30-49,Asian,Middle,Male,2.0,1.0,4.0,2.0,2.0,5.0,0.6338103659612302
18-29,White,Low,Male,4.0,1.0,2.0,1.0,2.0,5.0,4.408366685645647
50-64,White,Middle,Male,3.0,4.0,2.0,1.0,2.0,5.0,1.6631022045881745
30-49,White,Upper,Female,2.0,1.0,2.0,1.0,1.0,5.0,0.3392875383904384
30-49,White,Middle,Female,2.0,1.0,,,3.0,,0.8394339389191563
50-64,Black,Middle,Female,2.0,2.0,3.0,2.0,2.0,5.0,1.151528033919602
30-49,White,Low,Female,3.0,1.0,2.0,1.0,2.0,,0.7453371426282495
30-49,Hispanic,Middle,Male,1.0,2.0,1.0,2.0,2.0,5.0,0.5054181719665455
30-49,White,Middle,Female,3.0,2.0,3.0,1.0,2.0,3.0,0.4960370363832905
50-64,Black,Upper,Female,2.0,2.0,4.0,2.0,2.0,3.0,0.3357651971894473
50-64,White,Upper,Male,2.0,2.0,3.0,1.0,2.0,4.0,0.3986548559008543
65+,White,Middle,Male,2.0,1.0,3.0,1.0,2.0,5.0,0.4536787232598701
50-64,White,Middle,Female,1.0,1.0,3.0,1.0,2.0,,0.8034489375856031
18-29,Hispanic,Middle,Female,2.0,3.0,2.0,1.0,1.0,2.0,4.171897727100594
30-49,White,Upper,Female,3.0,2.0,1.0,2.0,1.0,3.0,0.5600992967858238
30-49,White,Low,Female,1.0,1.0,2.0,1.0,2.0,5.0,0.9627095011251338
30-49,White,Middle,Male,3.0,2.0,1.0,2.0,2.0,2.0,0.5680162160382646
30-49,White,Middle,Male,3.0,3.0,2.0,2.0,2.0,5.0,0.5006047580125241
50-64,White,Middle,Female,3.0,3.0,3.0,1.0,2.0,5.0,0.4985858453007264
30-49,Hispanic,Upper,Female,2.0,3.0,1.0,2.0,1.0,2.0,0.4191157627033674
30-49,Black,Middle,Male,2.0,2.0,3.0,2.0,1.0,4.0,0.7957402748708976
30-49,Black,Middle,Female,2.0,1.0,,,3.0,,0.4398149284266392
50-64,White,Middle,Female,2.0,1.0,4.0,1.0,1.0,3.0,0.5646315965150438
30-49,White,Upper,Female,3.0,3.0,2.0,1.0,1.0,5.0,0.5744993794896197
30-49,White,Middle,Female,2.0,3.0,3.0,1.0,2.0,5.0,0.6074548302560302
50-64,White,Middle,Female,3.0,4.0,2.0,1.0,2.0,5.0,0.664544593412513
50-64,White,Middle,Male,2.0,1.0,2.0,2.0,2.0,5.0,1.1012798054856223
65+,Hispanic,Upper,Male,1.0,2.0,2.0,1.0,1.0,4.0,0.8672393892322
30-49,Other,Low,Female,3.0,4.0,4.0,2.0,1.0,4.0,1.9598378702055608
30-49,Hispanic,Upper,Female,2.0,1.0,2.0,1.0,1.0,5.0,0.2816107374893423
30-49,Asian,Middle,Male,3.0,2.0,3.0,1.0,2.0,5.0,0.9590530833435712
30-49,Hispanic,Middle,Male,1.0,4.0,2.0,1.0,1.0,5.0,3.2058838389844513
30-49,White,Upper,Female,1.0,1.0,3.0,2.0,2.0,,0.4184726303484138
30-49,Asian,Middle,Female,2.0,2.0,4.0,1.0,2.0,2.0,0.692069015982958
50-64,White,Low,Female,2.0,2.0,2.0,1.0,2.0,,1.2961545563435062
65+,White,Low,Female,2.0,1.0,4.0,,2.0,,0.8072466665134201
30-49,White,Low,Male,2.0,1.0,3.0,2.0,2.0,3.0,0.7719236776502509
30-49,White,Upper,Male,1.0,1.0,3.0,1.0,1.0,4.0,0.3682335815401689
50-64,Hispanic,Upper,Male,2.0,4.0,3.0,1.0,1.0,5.0,0.9116788779180466
30-49,White,Upper,Female,3.0,5.0,2.0,1.0,2.0,3.0,0.2320017263096618
30-49,White,Upper,Male,2.0,2.0,3.0,1.0,1.0,2.0,0.700191755333221
30-49,White,Upper,Male,1.0,1.0,3.0,2.0,1.0,3.0,1.326284832202384
18-29,Black,Low,Male,3.0,2.0,2.0,1.0,2.0,5.0,2.8209755640108174
65+,White,Middle,Female,2.0,2.0,,,3.0,5.0,0.5481420295604893
50-64,White,Upper,Female,1.0,2.0,4.0,2.0,2.0,2.0,0.7050291809560396
50-64,White,Upper,Male,3.0,3.0,2.0,1.0,2.0,2.0,0.3999857811189007
50-64,White,Middle,Female,4.0,3.0,4.0,1.0,2.0,4.0,0.4067709049411349
30-49,White,Middle,Female,1.0,2.0,2.0,1.0,2.0,4.0,0.9421610444098352
65+,White,Low,Female,3.0,3.0,2.0,1.0,1.0,5.0,0.5357646743354059
30-49,White,Low,Female,1.0,4.0,,,3.0,,1.4838314419173362
30-49,Other,Upper,Male,2.0,2.0,3.0,1.0,2.0,5.0,0.5082415621925533
30-49,Hispanic,Low,Female,2.0,4.0,3.0,2.0,2.0,3.0,0.8203745957832936
30-49,White,Middle,Female,2.0,1.0,2.0,2.0,1.0,3.0,0.7121717883716581
30-49,White,Middle,Male,2.0,2.0,3.0,1.0,2.0,5.0,0.858602669505168
30-49,Asian,Middle,Male,3.0,4.0,3.0,1.0,2.0,4.0,2.7319161170301323
30-49,Black,Middle,Female,2.0,1.0,2.0,2.0,2.0,4.0,1.3874586787131509
50-64,White,Middle,Male,1.0,1.0,3.0,1.0,2.0,5.0,0.8460322413974966
50-64,White,Middle,Female,2.0,2.0,2.0,1.0,1.0,5.0,0.6187050093917357
30-49,White,Middle,Female,2.0,2.0,2.0,2.0,2.0,4.0,0.6863010508682045
65+,Black,Low,Female,3.0,1.0,,,,,0.6390936192767673
50-64,White,Upper,Female,3.0,1.0,,,3.0,,0.390674558783588
18-29,White,Low,Female,2.0,2.0,3.0,1.0,1.0,5.0,0.821295958518944
50-64,White,Middle,Male,3.0,3.0,4.0,2.0,2.0,,1.9568563736597244
50-64,White,Middle,Female,2.0,1.0,3.0,2.0,2.0,,0.4946832062142628
50-64,Hispanic,Low,Male,3.0,3.0,3.0,2.0,2.0,5.0,4.764723573445259
50-64,White,Middle,Male,2.0,2.0,2.0,1.0,1.0,5.0,0.7093928385169979
30-49,White,Upper,Female,3.0,3.0,2.0,1.0,2.0,5.0,0.4860025533550057
30-49,White,Upper,Female,3.0,1.0,3.0,1.0,2.0,5.0,0.536641204353755
18-29,White,Middle,Male,2.0,3.0,3.0,1.0,1.0,2.0,0.9510375050271624
30-49,White,Middle,Female,2.0,1.0,2.0,1.0,2.0,,0.427189858073673
50-64,Asian,Middle,Female,1.0,1.0,4.0,2.0,2.0,5.0,0.9393920598770256
30-49,White,Middle,Female,2.0,1.0,3.0,1.0,2.0,5.0,0.8112709020314574
65+,White,Middle,Female,2.0,1.0,3.0,1.0,2.0,5.0,0.9153832707861504
30-49,White,Low,Female,3.0,4.0,2.0,1.0,2.0,5.0,2.1218938398816047
50-64,Hispanic,Middle,Female,3.0,2.0,,,3.0,,0.6407278998268039
30-49,White,Upper,Male,2.0,1.0,3.0,1.0,2.0,4.0,0.7982000630966354
50-64,Other,Middle,Female,2.0,1.0,1.0,2.0,2.0,4.0,0.4983566253995845
50-64,White,Upper,Female,1.0,1.0,3.0,2.0,2.0,,0.99094754833947
65+,White,Low,Female,2.0,2.0,3.0,1.0,1.0,,1.612891401326756
50-64,White,Upper,Male,3.0,2.0,3.0,2.0,2.0,4.0,0.2375101000524166
18-29,Black,Low,Female,3.0,1.0,,,3.0,,2.0295712276268483
30-49,White,Middle,Male,1.0,2.0,1.0,2.0,1.0,2.0,0.4705560155201932
30-49,Hispanic,Middle,Male,2.0,2.0,,,3.0,,1.0054193307370538
50-64,White,Upper,Male,2.0,2.0,,,3.0,,0.6936851856578194
50-64,White,Middle,Male,2.0,1.0,3.0,2.0,2.0,5.0,0.473906272292783
50-64,Hispanic,Upper,Male,2.0,2.0,2.0,2.0,2.0,2.0,0.4325063876906767
50-64,White,Upper,Male,1.0,4.0,1.0,2.0,1.0,4.0,0.1992558171134416
50-64,White,Middle,Female,2.0,1.0,1.0,2.0,1.0,2.0,0.9628319789231136
30-49,White,Middle,Female,2.0,2.0,3.0,1.0,2.0,5.0,0.7631053837782481
30-49,Asian,Middle,Female,1.0,1.0,4.0,1.0,1.0,4.0,1.0482290389962103
30-49,White,Middle,Male,2.0,1.0,3.0,1.0,2.0,4.0,0.1992558171134416
65+,White,Upper,Male,2.0,1.0,4.0,2.0,2.0,,1.2928260113776244
50-64,White,Upper,Male,2.0,1.0,4.0,1.0,1.0,5.0,0.71628161944076
30-49,White,Middle,Male,2.0,1.0,2.0,1.0,2.0,4.0,0.468078062667496
30-49,Other,Upper,Female,2.0,2.0,2.0,2.0,1.0,2.0,0.7876985719397295
30-49,White,Upper,Female,3.0,1.0,3.0,1.0,2.0,4.0,0.3403843158042496
50-64,White,Upper,Female,1.0,2.0,3.0,1.0,2.0,5.0,0.5519109204117066
30-49,White,Upper,Female,3.0,1.0,,,3.0,,1.650858338646999
30-49,White,Upper,Female,2.0,3.0,2.0,1.0,2.0,5.0,0.4782789659941939
50-64,Black,Low,Female,3.0,2.0,3.0,1.0,2.0,,0.5309601626338767
65+,White,Middle,Female,1.0,1.0,3.0,1.0,2.0,5.0,0.6030095041709916
30-49,White,Low,Female,1.0,1.0,4.0,1.0,2.0,5.0,1.3218899179351185
18-29,Hispanic,Middle,Male,2.0,2.0,4.0,1.0,2.0,5.0,1.3658265019215898
30-49,Asian,Middle,Male,3.0,2.0,1.0,2.0,2.0,5.0,0.3428286064055866
65+,White,Middle,Male,3.0,1.0,3.0,2.0,2.0,5.0,0.2538462252522336
30-49,White,Upper,Male,3.0,1.0,3.0,1.0,1.0,1.0,0.9102135637151118
50-64,White,Middle,Male,2.0,2.0,2.0,1.0,1.0,4.0,0.4441166887171559
50-64,White,Middle,Female,1.0,2.0,2.0,1.0,2.0,5.0,1.2571211675374812
18-29,Hispanic,Middle,Male,3.0,1.0,,,3.0,,1.2991689403303874
30-49,Hispanic,Middle,Female,2.0,3.0,3.0,2.0,1.0,1.0,0.4942009458036167
50-64,White,Middle,Female,1.0,1.0,,,3.0,,0.9865459530008456
30-49,White,Upper,Male,4.0,1.0,3.0,1.0,1.0,4.0,0.8794020650035625
50-64,White,Upper,Female,2.0,1.0,3.0,1.0,2.0,5.0,0.4036636083752428
30-49,White,Middle,Male,2.0,2.0,3.0,1.0,2.0,4.0,0.6980199037277707
30-49,White,Middle,Male,3.0,3.0,2.0,1.0,2.0,5.0,0.7741152801052754
30-49,White,Middle,Female,3.0,1.0,3.0,2.0,2.0,4.0,0.3901029238010615
65+,White,Middle,Male,3.0,2.0,2.0,2.0,2.0,4.0,0.6759881846698754
50-64,White,Upper,Male,3.0,2.0,4.0,2.0,2.0,4.0,0.6784918526969125
30-49,White,Middle,Female,1.0,1.0,,,3.0,,0.4697540426090689
30-49,White,Middle,Female,2.0,2.0,4.0,1.0,2.0,5.0,0.9366236450618456
50-64,White,Upper,Female,2.0,1.0,,,3.0,,0.4827937427618459
18-29,Other,Middle,Female,3.0,3.0,2.0,1.0,1.0,5.0,1.391802496938991
65+,Asian,Middle,Male,3.0,3.0,1.0,1.0,1.0,1.0,0.2110584003129461
65+,White,Upper,Male,1.0,1.0,3.0,2.0,1.0,5.0,0.2203819283527759
50-64,White,Middle,Female,3.0,2.0,4.0,1.0,2.0,,0.6267578510690112
30-49,White,Upper,Male,2.0,2.0,3.0,1.0,1.0,2.0,0.414926383474164
50-64,White,Middle,Male,3.0,2.0,3.0,2.0,2.0,5.0,1.0706091777273568
30-49,Black,Low,Male,3.0,4.0,2.0,1.0,1.0,5.0,3.020898368913171
30-49,White,Low,Female,3.0,2.0,,,3.0,,0.8404630513023005
50-64,Hispanic,Low,Male,3.0,1.0,,,3.0,5.0,1.6679264586851714
30-49,White,Middle,Male,2.0,3.0,1.0,1.0,1.0,1.0,0.9546641981692674
50-64,White,Upper,Female,3.0,3.0,2.0,1.0,2.0,,0.7303141433922669
50-64,White,Middle,Female,1.0,1.0,4.0,1.0,2.0,5.0,0.4563886910736912
30-49,Hispanic,Middle,Male,3.0,4.0,,,3.0,,0.6603393285876069
30-49,White,Middle,Male,2.0,1.0,3.0,2.0,2.0,4.0,0.4907042079872951
18-29,White,Middle,Female,2.0,2.0,2.0,1.0,2.0,5.0,0.8919252297226979
18-29,White,Middle,Male,2.0,1.0,3.0,1.0,2.0,5.0,0.8223342680105954
50-64,Other,Upper,Female,3.0,1.0,2.0,1.0,1.0,5.0,0.3852397262677065
50-64,Black,Upper,Male,1.0,1.0,2.0,2.0,2.0,,0.3948305070169222
50-64,White,Middle,Female,3.0,2.0,3.0,2.0,2.0,5.0,0.6489386337179202
65+,Black,Middle,Female,1.0,1.0,,,3.0,,1.2625150640824714
18-29,Hispanic,Upper,Female,3.0,2.0,3.0,1.0,1.0,1.0,1.820616115936693
30-49,White,Upper,Male,3.0,2.0,3.0,2.0,2.0,5.0,0.5168374628538918
50-64,White,Middle,Female,3.0,2.0,3.0,1.0,2.0,5.0,0.4883026092146111
50-64,White,Middle,Female,4.0,1.0,,,3.0,4.0,0.644271965127141
30-49,White,Upper,Male,3.0,3.0,4.0,1.0,2.0,5.0,1.2223702692229574
30-49,Other,Upper,Female,3.0,4.0,4.0,1.0,2.0,3.0,0.7878071192703645
65+,White,Middle,Female,1.0,3.0,,,3.0,2.0,0.8124391383469444
30-49,Other,Upper,Female,4.0,3.0,4.0,2.0,2.0,3.0,0.9058485029251544
30-49,White,Upper,Male,2.0,1.0,2.0,1.0,1.0,5.0,0.6427010006113051
50-64,White,Upper,Male,3.0,2.0,3.0,2.0,1.0,5.0,0.6414809631861591
30-49,White,Middle,Female,3.0,5.0,2.0,1.0,1.0,4.0,0.3889620623300786
18-29,White,Low,Female,3.0,2.0,,,3.0,4.0,3.0236737441852077
30-49,White,Middle,Female,2.0,1.0,3.0,1.0,2.0,,1.2554076944693573
30-49,Black,Low,Female,1.0,1.0,3.0,2.0,2.0,5.0,0.6203173085232146
30-49,White,Low,Female,3.0,5.0,4.0,1.0,2.0,3.0,0.285971240302169
65+,White,Upper,Female,2.0,,4.0,1.0,2.0,5.0,0.5232121714215089
18-29,White,Upper,Female,2.0,2.0,2.0,1.0,2.0,,1.829182628118936
50-64,White,Middle,Female,4.0,3.0,3.0,1.0,2.0,4.0,0.7099492672544482
18-29,White,Upper,Male,2.0,1.0,3.0,1.0,2.0,4.0,1.0690187079037825
50-64,White,Upper,Female,3.0,2.0,2.0,1.0,2.0,5.0,0.4106940024928819
50-64,Hispanic,Low,Female,3.0,3.0,4.0,2.0,2.0,5.0,0.8579144117036226
30-49,Other,Upper,Male,3.0,2.0,4.0,1.0,1.0,2.0,0.6015675503516179
50-64,White,Upper,Female,5.0,2.0,3.0,1.0,1.0,4.0,0.3861250597824595
30-49,White,Middle,Female,1.0,1.0,1.0,1.0,1.0,1.0,0.5915573977747404
50-64,White,Upper,Male,1.0,1.0,2.0,1.0,2.0,5.0,1.7171143042706136
50-64,Black,Middle,Male,5.0,5.0,1.0,2.0,1.0,5.0,1.4807837511259625
50-64,Black,Low,Female,3.0,2.0,2.0,1.0,2.0,5.0,1.0205975147236914
18-29,White,Low,Male,3.0,2.0,4.0,2.0,2.0,4.0,1.0169794019496894
30-49,Asian,Low,Female,2.0,1.0,,,3.0,,1.2106177180661004
50-64,White,Middle,Male,1.0,1.0,3.0,1.0,2.0,,0.9616350103517668
30-49,White,Middle,Female,2.0,1.0,2.0,1.0,2.0,5.0,0.6810386638813845
30-49,Hispanic,Low,Female,2.0,3.0,,,3.0,,1.6371984484929685
65+,White,Middle,Female,3.0,1.0,4.0,1.0,2.0,5.0,0.6635785863104504
30-49,White,Middle,Female,3.0,5.0,2.0,1.0,1.0,4.0,0.9364442981038404
18-29,White,Middle,Male,1.0,2.0,3.0,2.0,2.0,3.0,1.5438242576648813
30-49,White,Upper,Female,1.0,2.0,3.0,1.0,1.0,2.0,0.6885643827628559
30-49,Hispanic,Upper,Female,4.0,1.0,,,3.0,,0.2904382589368921
30-49,White,Low,Female,2.0,4.0,2.0,1.0,1.0,2.0,1.4636360659278274
50-64,White,Middle,Female,2.0,3.0,3.0,2.0,2.0,,0.6202687041432906
50-64,White,Middle,Female,3.0,2.0,,,3.0,5.0,0.282711719479861
30-49,White,Middle,Female,2.0,1.0,3.0,1.0,2.0,5.0,0.9646749435952852
30-49,Other,Low,Male,3.0,4.0,4.0,1.0,1.0,2.0,4.764723573445259
30-49,White,Middle,Male,2.0,2.0,2.0,2.0,1.0,1.0,1.772041409954996
18-29,White,Low,Male,3.0,4.0,1.0,2.0,1.0,2.0,1.7939115469177418
50-64,White,Low,Female,2.0,1.0,,,3.0,,0.4271227144986158
18-29,Asian,Low,Female,3.0,1.0,,,3.0,,1.7791482465118178
65+,White,Middle,Female,4.0,4.0,2.0,1.0,2.0,5.0,1.023875358977136
30-49,Other,Low,Female,2.0,3.0,3.0,2.0,1.0,5.0,0.5909020383365325
30-49,White,Middle,Male,3.0,3.0,2.0,2.0,2.0,5.0,0.8650247262551546
30-49,Black,Low,Female,1.0,1.0,,,3.0,,1.281239695009129
50-64,Hispanic,Middle,Female,1.0,2.0,2.0,1.0,2.0,5.0,0.8715531214210973
50-64,Black,Middle,Female,3.0,2.0,,,3.0,,1.120353359386963
30-49,White,Upper,Male,3.0,2.0,1.0,2.0,2.0,1.0,0.5832371688125316
30-49,Other,Middle,Male,1.0,1.0,,,3.0,,0.4080432911245691
30-49,White,Middle,Male,2.0,2.0,3.0,2.0,2.0,5.0,1.0402507241314645
30-49,White,Upper,Male,3.0,1.0,2.0,1.0,2.0,4.0,0.6449025974583494
30-49,Hispanic,Middle,Male,2.0,2.0,1.0,2.0,1.0,2.0,1.473463284286262
30-49,White,Middle,Female,2.0,1.0,2.0,1.0,2.0,5.0,0.4728008442921204
50-64,White,Upper,Female,2.0,1.0,3.0,1.0,2.0,5.0,0.7460350675071188
18-29,Hispanic,Middle,Female,2.0,1.0,2.0,1.0,2.0,5.0,2.177993748280175
65+,Other,Upper,Male,2.0,2.0,1.0,2.0,1.0,5.0,0.5747190088980465
18-29,Hispanic,Low,Female,2.0,1.0,2.0,1.0,2.0,,0.5302275982016451
50-64,White,Middle,Female,2.0,5.0,2.0,1.0,2.0,5.0,0.8428741263517529
30-49,White,Middle,Female,2.0,2.0,3.0,1.0,1.0,4.0,0.4151964517987995
30-49,Hispanic,Middle,Male,2.0,1.0,3.0,1.0,1.0,4.0,0.9925626391718994
30-49,Black,Low,Male,3.0,4.0,2.0,1.0,2.0,5.0,1.426385737389726
30-49,White,Middle,Female,2.0,1.0,3.0,1.0,2.0,5.0,0.9681836053846046
65+,White,Middle,Male,2.0,2.0,,,3.0,,0.4631213546027751
50-64,Asian,Middle,Male,2.0,2.0,2.0,1.0,2.0,,0.8585772661624855
30-49,White,Upper,Female,3.0,2.0,3.0,1.0,2.0,4.0,0.6640724388259163
30-49,White,Middle,Male,5.0,4.0,4.0,2.0,2.0,4.0,0.4556267559125239
30-49,White,Upper,Female,4.0,1.0,2.0,1.0,2.0,4.0,1.075791952422306
